OBJECTID,AREA_,PERIMETER,CLASS,AREA_ACRES,SHAPEAREA,SHAPELEN
209,367947.2942,2783.47134,013,8,367947.27546,2783.471148
210,2175000.34142,6815.1202,014,50,2175000.49299,6815.120397
211,369688.18056,2194.1669,002,8,369688.21681,2194.166917
212,107091217.24771,99505.24304,007,2458,107091216.97837,99505.243413
213,4547858.20264,10889.70428,002,104,4547858.12458,10889.704366
214,2012445.59135,5547.33517,002,46,2012445.69771,5547.335203
215,709339.50902,3989.92626,020,16,709339.43903,3989.926158
216,838971.2296,4308.87767,016,19,838971.29908,4308.877929
217,145574237.74779,113127.95527,019,3342,145574237.68373,113127.955327
218,1126685.81993,4528.8135,020,26,1126685.79285,4528.813722
219,247562.84821,2068.38074,013,6,247562.84229,2068.380775
220,332794.20367,2114.71628,013,8,332794.28299,2114.716458
221,7032282.32768,13353.91917,146,161,7032282.20311,13353.919595
222,14003901.59331,21205.12444,014,321,14003901.62422,21205.124365
223,267057.16193,2020.40204,013,6,267057.15219,2020.401765
224,468101273.46424,101708.62175,158,10746,468101273.69308,101708.622054
225,158424076.49964,57884.47548,050,3637,158424076.52201,57884.474822
226,2134894.98813,12611.30338,019,49,2134894.9091,12611.303316
227,2468427.64151,8466.24652,007,57,2468427.6925,8466.246186
228,9321340.76801,17436.50028,007,214,9321340.79889,17436.500423
229,7806710.85064,17345.2596,002,179,7806710.73543,17345.259678
230,10962177.71335,17725.52962,014,252,10962177.77835,17725.52854
231,22752813.59154,18545.61163,014,522,22752813.67377,18545.611712
232,1832158.81403,6387.94988,016,42,1832158.7972,6387.949479
233,183441707.73605,68964.95402,170,4211,183441707.47172,68964.954231
234,3583372.15136,9465.21556,007,82,3583372.16419,9465.215366
235,4140710.6363,10992.11239,007,95,4140710.51007,10992.112758
236,4400768.64065,13203.56702,013,101,4400768.68433,13203.567808
237,2165945.8569,7744.55076,020,50,2165945.7573,7744.551081
238,2369914.02655,6492.38884,008,54,2369914.11329,6492.388696
239,6918814.61591,12971.45554,007,159,6918814.60424,12971.454946
240,6260750.88391,17575.33093,016,144,6260750.73691,17575.330528
241,156436306.1765,58367.30995,167,3591,156436306.09397,58367.309781
242,272368737.9003,95483.07315,169,6253,272368738.61709,95483.072765
243,27292364.79547,27648.16355,094,627,27292364.719,27648.16336
244,121319393.53139,68906.0871,052,2785,121319393.41888,68906.08688
245,4001440.38244,15100.9496,146,92,4001440.42332,15100.949492
246,327045525.01335,69162.34634,162,7508,327045524.89713,69162.346901
247,186487257.99963,58402.22018,005,4281,186487258.96984,58402.22085
248,8940864.83486,19210.36307,146,205,8940864.94587,19210.362929
